sequence_id,frame_num,d_hand,bend_angle,dwell_time,conceal_flag,velocity,exit_flag,is_theft,theft_style
0,0,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,1,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,2,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,3,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,4,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,5,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,6,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,7,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,8,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,9,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,10,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,11,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,12,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,13,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,14,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,15,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,16,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,17,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,18,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,19,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,20,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,21,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,22,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,23,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,24,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,25,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,26,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,27,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,28,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
0,29,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,0,0.0638790327694735,0.5,0.3333333333333333,0.0,0.0006419760131427879,0.0,0,Normal
1,1,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,2,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,3,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,4,0.014426616607250918,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,5,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,6,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,7,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,8,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,9,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,10,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,11,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,12,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,13,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,14,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,15,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,16,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,17,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,18,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,19,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,20,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,21,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,22,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,23,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,24,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,25,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,26,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,27,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,28,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
1,29,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
2,0,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
2,1,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
2,2,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
2,3,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
2,4,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
2,5,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
2,6,0.06944329046189232,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
2,7,0.07075729030441465,0.5,0.3333333333333333,0.0,0.0027612432393467464,0.0,0,Normal
2,8,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
2,9,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
2,10,1.0,0.5,0.3333333333333333,0.0,0.0,0.0,0,Normal
